year|bib|age_group|gender|country|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|F9152|50-54|W|AUT|3689|347|1876.0|3724.0|5578.0|7421.0|7808.0|9248.0|11030.0|12759.0|14505.0|15243.0
 2015|F7851|55-59|W|GER|3688|129|1616.0|3310.0|5032.0|6772.0|7154.0|8565.0|10409.0|12325.0|14410.0|15242.0
 2015|F2427|35-39|W|GBR|3687|601|1741.0|3442.0|5285.0|7066.0|7466.0|8892.0|10746.0|12600.0|14460.0|15242.0
 2015|F1267|H|W|NZL|3686|592|1773.0|3491.0|5233.0|7031.0|7415.0|8916.0|10811.0|12603.0|14491.0|15239.0
 2015|F9544|40-44|W|RUS|3685|726|1633.0|3253.0|4913.0|6666.0|7195.0|8866.0|10885.0|12672.0|14442.0|15239.0
 2015|F10437|H|W|GER|3684|591|1749.0|3458.0|5258.0|6979.0|7356.0|8788.0|10676.0|12550.0|14440.0|15238.0
 2015|F8789|30-34|W|SUI|3683|647|1759.0|3440.0|5157.0|6887.0|7262.0|8654.0|10490.0|12408.0|14405.0|15238.0
 2015|F10004|H|W|GER|3682|590|1744.0|3560.0|5375.0|7198.0|7594.0|9026.0|10816.0|12609.0|14486.0|15237.0
 2015|F7481|45-49|W|ITA|3681|607|1571.0|3190.0|4866.0|6561.0|6941.0|8472.0|10380.0|12379.0|14448.0|15237.0
 2015|F1886|50-54|W|FRA|3680|346|1854.0|3746.0|5523.0|7221.0|7573.0|8950.0|10700.0|12516.0|14404.0|15236.0
 2015|F406|50-54|W|GER|3679|345|1705.0|3463.0|5237.0|7004.0|7385.0|8824.0|10652.0|12564.0|14426.0|15236.0
 2015|F1211|55-59|W|GER|3678|128|1763.0|3534.0|5186.0|6918.0|7311.0|8817.0|10726.0|12566.0|14452.0|15235.0
 2015|F6156|50-54|W|GER|3677|344|1781.0|3540.0|5276.0|7039.0|7420.0|8819.0|10646.0|12495.0|14420.0|15234.0
 2015|F632|40-44|W|GER|3676|725|1706.0|3432.0|5163.0|6847.0|7209.0|8540.0|10287.0|12158.0|14409.0|15233.0
 2015|F3570|35-39|W|SWE|3675|600|1824.0|3679.0|5509.0|7325.0|7710.0|9146.0|10959.0|12756.0|14498.0|15233.0
 2015|F11620|55-59|W|GER|3674|127|1848.0|3639.0|5397.0|7118.0|7492.0|8892.0|10720.0|12522.0|14414.0|15232.0
 2015|F4144|40-44|W|FIN|3673|724|1657.0|3351.0|5105.0|6878.0|7261.0|8689.0|10559.0|12464.0|14397.0|15231.0
 2015|F9872|30-34|W|USA|3672|646|1721.0|3435.0|5196.0|6930.0|7303.0|8704.0|10532.0|12424.0|14371.0|15230.0
 2015|F3486|55-59|W|FRA|3671|126|1776.0|3583.0|5369.0|7210.0|7595.0|8989.0|10797.0|12576.0|14425.0|15229.0
 2015|F5947|30-34|W|GER|3670|645|1802.0|3596.0|5401.0|7207.0|7591.0|9020.0|10832.0|12608.0|14428.0|15229.0
 2015|F5342|30-34|W|USA|3669|644|1734.0|3494.0|5339.0|7138.0|7529.0|8985.0|10891.0|12682.0|14461.0|15228.0
 2015|F1525|30-34|W|GER|3668|643|1674.0|3380.0|5114.0|6873.0|7260.0|8703.0|10586.0|12489.0|14416.0|15227.0
 2015|F3330|50-54|W|MEX|3667|343|1646.0|3315.0|5021.0|6741.0|7103.0|8531.0|10381.0|12327.0|14363.0|15225.0
 2015|F3331|45-49|W|ESP|3666|606|1818.0|3672.0|5471.0|7316.0|7713.0|9130.0|11007.0|12760.0|14502.0|15224.0
 2015|F1909|45-49|W|SUI|3665|605|1582.0|3191.0|4815.0|6542.0|6930.0|8381.0|10299.0|12276.0|14368.0|15224.0
 2015|F3525|35-39|W|GER|3664|599|1692.0|3386.0|5102.0|6831.0|7208.0|8617.0|10520.0|12452.0|14435.0|15222.0
 2015|F10017|30-34|W|GER|3663|642|1824.0|3611.0|5420.0|7153.0|7531.0|8920.0|10716.0|12600.0|14442.0|15222.0
 2015|F4406|55-59|W|GER|3662|125|1750.0|3490.0|5302.0|7122.0|7502.0|8938.0|10736.0|12511.0|14407.0|15221.0
 2015|F4660|40-44|W|NOR|3661|723|1718.0|3457.0|5150.0|6919.0|7304.0|8720.0|10590.0|12460.0|14386.0|15220.0
