year|bib|age_group|gender|city|state|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|2420|45-49|M|Sao Paulo|SP|BRA|1883|1651|152|1327.0|2687.0|4022.0|5369.0|5667.0|6717.0|8080.0|9481.0|10951.0|11562.0
 2017|7329|55-59|M|Chapel Hill|NC|USA|1882|1650|17|1306.0|2601.0|3917.0|5241.0|5530.0|6560.0|7927.0|9375.0|10958.0|11562.0
 2017|6089|25-29|M|New York|NY|CAN|1881|1649|288|1274.0|2539.0|3803.0|5078.0|5359.0|6370.0|7716.0|9255.0|10909.0|11562.0
 2017|5035|30-34|M|Fayetteville|AR|USA|1880|1648|347|1354.0|2660.0|3995.0|5348.0|5647.0|6697.0|8052.0|9398.0|10859.0|11562.0
 2017|6210|40-44|M|Canton|MA|USA|1879|1647|323|1414.0|2769.0|4108.0|5452.0|5753.0|6829.0|8205.0|9577.0|10981.0|11560.0
 2017|3399|35-39|M|Guatemala|GUATEMALA|GUA|1878|1646|362|1296.0|2589.0|3867.0|5156.0|5446.0|6473.0|7822.0|9251.0|10865.0|11560.0
 2017|1388|25-29|M|Sevilla|SEVILLA|ESP|1876|1645|287|1367.0|2711.0|4067.0|5427.0|5714.0|6764.0|8132.0|9537.0|10966.0|11559.0
 2017|3396|40-44|M|Boucherville|QC|CAN|1875|1644|322|1363.0|2685.0|4029.0|5376.0|5673.0|6716.0|8101.0|9503.0|10976.0|11559.0
 2017|5132|20-24|M|Franklin Park|IL|USA|1874|1643|67|1313.0|2621.0|3936.0|5254.0|5544.0|6587.0|7953.0|9363.0|10906.0|11558.0
 2017|11381|40-44|M|Naperville|IL|ROU|1873|1642|321|1330.0|2665.0|4022.0|5384.0|5688.0|6767.0|8149.0|9579.0|10998.0|11558.0
 2017|1399|35-39|M|Sao Paulo|SP|BRA|1872|1641|361|1334.0|2672.0|4007.0|5359.0|5659.0|6709.0|8064.0|9461.0|10940.0|11556.0
 2017|1108|55-59|M|Rouen|FRANCE|FRA|1871|1640|16|1302.0|2598.0|3911.0|5235.0|5523.0|6557.0|7920.0|9354.0|10904.0|11556.0
 2017|2528|50-54|M|Goiania|GOIAS|BRA|1870|1639|82|1354.0|2675.0|3999.0|5342.0|5637.0|6690.0|8053.0|9456.0|10943.0|11556.0
 2017|6170|30-34|M|Philadelphia|PA|FRA|1869|1638|346|1191.0|2392.0|3597.0|4808.0|5072.0|6082.0|7634.0|9286.0|10931.0|11555.0
 2017|4493|35-39|M|Puebla|PUEBLA|MEX|1868|1637|360|1422.0|2808.0|4163.0|5511.0|5820.0|6900.0|8270.0|9611.0|11006.0|11555.0
 2017|4260|45-49|M|Carlisle|MA|USA|1867|1636|151|1294.0|2585.0|3872.0|5153.0|5441.0|6457.0|7820.0|9314.0|10891.0|11555.0
 2017|5243|20-24|M|Houston|TX|USA|1866|1635|66|1328.0|2665.0|4018.0|5388.0|5680.0|6721.0|8072.0|9458.0|10952.0|11554.0
 2017|9173|30-34|M|San Francisco|CA|USA|1865|1634|345|1311.0|2606.0|3919.0|5260.0|5558.0|6629.0|8026.0|9464.0|10957.0|11554.0
 2017|7242|35-39|M|Morris Plains|NJ|USA|1864|1633|359|1348.0|2682.0|4036.0|5389.0|5687.0|6730.0|8081.0|9442.0|10932.0|11553.0
 2017|10038|35-39|M|Colorado Springs|CO|USA|1863|1632|358|1303.0|2606.0|3915.0|5235.0|5526.0|6561.0|7914.0|9349.0|10886.0|11553.0
 2017|1543|30-34|M|Brooklyn|NY|USA|1862|1631|344|1300.0|2607.0|3908.0|5227.0|5521.0|6547.0|7863.0|9211.0|10834.0|11552.0
 2017|10207|25-29|M|New Germany|MN|USA|1861|1630|286|1305.0|2601.0|3910.0|5210.0|5496.0|6512.0|7838.0|9235.0|10869.0|11552.0
 2017|4445|40-44|M|Mexico|DF|MEX|1860|1629|320|1338.0|2662.0|3979.0|5316.0|5610.0|6667.0|8023.0|9422.0|10921.0|11552.0
 2017|1187|40-44|M|Rambouillet|FRANCE|FRA|1859|1628|319|1253.0|2544.0|3826.0|5116.0|5402.0|6430.0|7806.0|9286.0|10935.0|11551.0
 2017|11042|16-19|M|Annapolis|MD|USA|1858|1627|5|1228.0|2462.0|3676.0|4910.0|5197.0|6266.0|7652.0|9125.0|10738.0|11551.0
 2017|7483|40-44|M|Newark|DE|USA|1857|1626|318|1242.0|2484.0|3753.0|5050.0|5335.0|6354.0|7713.0|9214.0|10850.0|11550.0
 2017|4373|45-49|M|Zapopan|JALISCO|MEX|1856|1625|150|1349.0|2695.0|4030.0|5380.0|5673.0|6727.0|8074.0|9484.0|10952.0|11550.0
 2017|11222|30-34|M|Chicago|IL|USA|1855|1624|343|1380.0|2747.0|4093.0|5430.0|5724.0|6781.0|8130.0|9512.0|10947.0|11550.0
 2017|12038|25-29|M|Austin|TX|USA|1852|1623|285|1414.0|2827.0|4200.0|5562.0|5856.0|6886.0|8220.0|9562.0|10962.0|11548.0
 2017|5436|35-39|M|Chicago|IL|USA|1851|1622|357|1303.0|2614.0|3919.0|5257.0|5541.0|6557.0|7914.0|9344.0|10894.0|11548.0
 2017|5085|45-49|M|Davis|CA|USA|1850|1621|149|1340.0|2677.0|4012.0|5366.0|5664.0|6714.0|8066.0|9423.0|10915.0|11548.0
 2017|8020|35-39|M|Ada|MI|USA|1849|1620|356|1305.0|2605.0|3929.0|5267.0|5561.0|6630.0|8039.0|9479.0|10954.0|11547.0
 2017|6472|25-29|M|Chicago|IL|USA|1848|1619|284|1264.0|2525.0|3785.0|5060.0|5338.0|6335.0|7621.0|9164.0|10865.0|11546.0
 2017|2462|50-54|M|Nantes|FRANCE|FRA|1847|1618|81|1329.0|2661.0|3999.0|5355.0|5652.0|6695.0|8048.0|9429.0|10922.0|11546.0
 2017|8044|30-34|M|Brooklyn|NY|IRL|1846|1617|342|1343.0|2659.0|3972.0|5280.0|5566.0|6595.0|7934.0|9339.0|10883.0|11545.0
 2017|6027|45-49|M|Solon|OH|USA|1845|1616|148|1267.0|2529.0|3791.0|5078.0|5357.0|6373.0|7800.0|9359.0|10923.0|11543.0
 2017|10039|35-39|M|Naperville|IL|USA|1843|1615|355|1361.0|2709.0|4059.0|5408.0|5709.0|6762.0|8127.0|9534.0|10966.0|11542.0
 2017|15042|45-49|M|Honolulu|HI|GER|1841|1614|147|1360.0|2708.0|4066.0|5431.0|5726.0|6778.0|8122.0|9501.0|10948.0|11540.0
 2017|2061|35-39|M|Zagreb||CRO|1840|1613|354|1234.0|2490.0|3760.0|5018.0|5299.0|6308.0|7633.0|9120.0|10812.0|11539.0
 2017|6231|30-34|M|Lombard|IL|USA|1838|1612|341|1256.0|2520.0|3785.0|5073.0|5361.0|6372.0|7708.0|9116.0|10901.0|11538.0
 2017|1233|20-24|M|Caracas|MIRANDA|VEN|1836|1611|65|1214.0|2444.0|3652.0|4863.0|5135.0|6106.0|7459.0|8924.0|10850.0|11534.0
 2017|5595|55-59|M|Reno|NV|USA|1835|1610|15|1334.0|2640.0|3952.0|5278.0|5570.0|6615.0|7987.0|9428.0|10928.0|11534.0
 2017|7211|25-29|M|Chicago|IL|USA|1834|1609|283|1366.0|2714.0|4082.0|5477.0|5790.0|6877.0|8247.0|9603.0|10987.0|11532.0
 2017|6649|40-44|M|Santiago||CHI|1832|1608|317|1362.0|2738.0|4119.0|5475.0|5771.0|6831.0|8182.0|9507.0|10913.0|11532.0
 2017|4566|50-54|M|Brasilia|DF|BRA|1831|1607|80|1340.0|2656.0|3966.0|5293.0|5594.0|6641.0|8009.0|9393.0|10898.0|11530.0
 2017|3571|25-29|M|Lima|LIMA|PER|1829|1606|282|1220.0|2485.0|3775.0|5080.0|5370.0|6400.0|7777.0|9287.0|10876.0|11527.0
 2017|770|30-34|M|Sobradinho|DISTRITO FEDERAL|BRA|1828|1605|340|1282.0|2544.0|3817.0|5103.0|5386.0|6393.0|7736.0|9203.0|10834.0|11526.0
 2017|2189|25-29|M|Bogota||COL|1827|1604|281|1285.0|2583.0|3886.0|5177.0|5463.0|6491.0|7826.0|9265.0|10825.0|11526.0
 2017|3329|40-44|M|Rio de Janeiro|RIO DE JANEIRO|BRA|1826|1603|316|1339.0|2659.0|4000.0|5353.0|5659.0|6731.0|8135.0|9543.0|10976.0|11526.0
 2017|2540|35-39|M|Vancouver|BC|CAN|1825|1602|353|1267.0|2516.0|3767.0|5025.0|5304.0|6292.0|7595.0|9150.0|10830.0|11525.0
 2017|9299|45-49|M|Chicago|IL|USA|1823|1601|146|1364.0|2738.0|4115.0|5497.0|5798.0|6876.0|8248.0|9609.0|10969.0|11525.0
 2017|9180|35-39|M|Cleveland Heights|OH|USA|1822|1600|352|1299.0|2561.0|3824.0|5100.0|5378.0|6376.0|7676.0|9093.0|10803.0|11524.0
 2017|8146|25-29|M|Richmond|VA|USA|1820|1599|280|1291.0|2614.0|3934.0|5255.0|5545.0|6602.0|7935.0|9481.0|10946.0|11523.0
